,不良(101-199)(站日),縣市,時間
1161,0,花蓮縣,
1162,0,臺東縣,
1163,2,金門縣,
1164,1,連江縣,
1165,0,澎湖縣,
1166,3,臺北市,2014年 6月
1167,0,新北市,
1168,0,桃園市,
1169,0,基隆市,
1170,0,新竹縣,
1171,0,新竹市,
1172,0,苗栗縣,
1173,0,臺中市,
1174,0,彰化縣,
1175,0,南投縣,
1176,0,雲林縣,
1177,0,嘉義縣,
1178,0,嘉義市,
1179,0,臺南市,
1180,0,高雄市,
1181,0,屏東縣,
1182,0,宜蘭縣,
1183,0,花蓮縣,
1184,0,臺東縣,
1185,0,金門縣,
1186,0,連江縣,
1187,0,澎湖縣,
1188,1,臺北市,2014年 7月
1189,4,新北市,
1190,0,桃園市,
1191,0,基隆市,
1192,1,新竹縣,
1193,0,新竹市,
1194,0,苗栗縣,
1195,0,臺中市,
1196,0,彰化縣,
1197,0,南投縣,
1198,0,雲林縣,
1199,0,嘉義縣,
1200,0,嘉義市,
1201,0,臺南市,
1202,9,高雄市,
1203,1,屏東縣,
1204,0,宜蘭縣,
1205,0,花蓮縣,
1206,0,臺東縣,
1207,0,金門縣,
1208,0,連江縣,
1209,0,澎湖縣,
1210,2,臺北市,2014年 8月
1211,4,新北市,
1212,0,桃園市,
1213,0,基隆市,
1214,1,新竹縣,
1215,0,新竹市,
1216,0,苗栗縣,
1217,1,臺中市,
1218,0,彰化縣,
1219,1,南投縣,
1220,0,雲林縣,
1221,0,嘉義縣,
1222,0,嘉義市,
1223,0,臺南市,
1224,3,高雄市,
1225,0,屏東縣,
1226,0,宜蘭縣,
1227,0,花蓮縣,
1228,0,臺東縣,
1229,0,金門縣,
1230,0,連江縣,
1231,0,澎湖縣,
1232,0,臺北市,2014年 9月
1233,1,新北市,
1234,1,桃園市,
1235,0,基隆市,
1236,1,新竹縣,
1237,0,新竹市,
1238,0,苗栗縣,
1239,0,臺中市,
